draw,k,at_bound,param_Cl_L_h,param_Vc_L,param_Vp_L,param_Q_L_h,param_wt_exponent_Vc,param_wt_exponent_Cl,model,param_Cl,param_Vc,param_Vp,param_Q
0,0.009424120341463227,False,0.6603944182986564,3.2225594515063705,2.167721082619012,5.9182882006270425,1.0,0.6728611911921388,delavenne,,,,
1,0.010245348421273769,False,0.8330495877403681,3.0464143584120396,2.1091090524435505,5.4304263445744985,1.0,0.8534801430661486,delavenne,,,,
2,0.010113808791819846,False,0.83741206946332,3.0400831375447765,2.0279184912814445,3.95407227846368,1.0,0.6622176955519645,delavenne,,,,
3,0.010911624786896274,False,0.8826062244131904,3.0863289054348493,2.3671637058272883,4.185687561857731,1.0,0.7616758497261334,delavenne,,,,
4,0.010085079705450192,False,0.84401617611592,3.1428101919891835,2.119392612001301,5.5322652441488795,1.0,0.6416652959677202,delavenne,,,,
5,0.009415256013148285,False,0.7111399567510087,3.290734562835383,2.20499235895966,4.045620671636099,1.0,0.49986832948472765,delavenne,,,,
6,0.01143953281191895,False,0.6837660476546347,2.8500430086521473,2.642389008745728,5.336470218201884,1.0,1.2395151439699261,delavenne,,,,
7,0.010591765144810314,False,0.8244876462605828,3.1915209671453937,2.4145120733256165,5.029181776771532,1.0,1.1483786014889115,delavenne,,,,
8,0.009065384448793942,False,0.6701961062358902,3.1825022738877418,2.069759559708557,3.633040727126788,1.0,0.8101272920944377,delavenne,,,,
9,0.0103267976262193,False,0.7588693529701723,2.908013606065766,2.1176070300988026,5.067217111803698,1.0,0.7451053421636391,delavenne,,,,
10,0.010812493655832247,False,0.7105726743230456,2.8569803944782035,2.3455699187421115,5.623003213171231,1.0,0.855629888266723,delavenne,,,,
11,0.010975630413486598,False,0.8509353505708848,2.876751164267093,2.1008734527975377,4.4651354997436705,1.0,0.6296171976764601,delavenne,,,,
12,0.010630764860638804,False,0.930424248162771,3.167778167916873,2.2185569205562095,5.129243968731157,1.0,0.5431708446968938,delavenne,,,,
13,0.010345762541499366,False,0.8896557887390818,3.0396414941870047,2.0384254251639784,4.434495735352521,1.0,0.8969407228141357,delavenne,,,,
14,0.010017153865872784,False,0.7125629679024117,3.0434430152403675,2.213543294451657,6.313181987953392,1.0,0.7195244099996415,delavenne,,,,
15,0.010632225048292115,False,1.0007846148560915,3.3648628113694046,2.2975303052672267,6.17661976788511,1.0,0.893403523635033,delavenne,,,,
16,0.011373904717145557,False,0.9096632260693783,2.9155832563387802,2.225921013472684,5.355921542771637,1.0,1.4241744843065511,delavenne,,,,
17,0.009904898523296879,False,0.8028910016431791,2.9999654235731175,1.984818084167691,5.553514168322371,1.0,0.951386487375222,delavenne,,,,
18,0.011283085868568379,False,0.7933004602743915,2.872903589147125,2.325702636588052,5.04199320738359,1.0,1.3178125665260663,delavenne,,,,
19,0.010516112878586486,False,0.9431731488147227,3.1945873049848514,2.15918124179301,4.303953654566028,1.0,0.9079113453425363,delavenne,,,,
20,0.01077360960333939,False,0.8648943739621924,3.15667293993935,2.384911197956582,4.250525586716121,1.0,0.7084688604758266,delavenne,,,,
21,0.010145657284101184,False,0.7852038846991884,3.3569943252862675,2.566017404608273,3.399039442881365,1.0,1.4008139529387085,delavenne,,,,
22,0.010204824464148379,False,0.8921104357865121,3.2034778513079427,2.170397929839661,4.164883749688344,1.0,0.6716730408898807,delavenne,,,,
23,0.009341594068239454,False,0.628779814232189,3.20477578902498,2.1589541776919803,4.445835439813145,1.0,0.6478645818766064,delavenne,,,,
24,0.010376604295874219,False,0.8207482534636313,2.9797339284137454,2.0841652238249853,4.243569888825048,1.0,0.7334867202707773,delavenne,,,,
25,0.010697295063867187,False,0.8090903028333041,2.8466378301057165,2.041963913235164,4.175625109651404,1.0,0.6194729877958078,delavenne,,,,
26,0.011262340057574238,False,0.9441847407525803,3.0548321715465057,2.2881696032044903,4.814838127636521,1.0,1.34820323437144,delavenne,,,,
27,0.010343198769808683,False,0.7875712816937469,3.215963339974582,2.448892748750525,4.146676529836577,1.0,0.6472622722679237,delavenne,,,,
28,0.009836728775092562,False,0.8579304591483818,3.272935544971015,2.1049016024910783,4.795488850973686,1.0,0.4610433201084153,delavenne,,,,
29,0.008734769369238874,False,0.6718293800957106,3.3032556321327147,1.9545428152918514,4.7489919087187555,1.0,0.712492846171171,delavenne,,,,
30,0.010752209038084508,False,0.9446509794309582,3.040712119736068,2.144092108374401,4.139645067438709,1.0,0.622921073401542,delavenne,,,,
31,0.011216317185938716,False,0.845937032060145,2.799892508919521,2.1699068497922522,4.014909343440145,1.0,0.9223266921464129,delavenne,,,,
32,0.010342871045316641,False,0.8642826466044157,2.995034458311318,1.9804297920666232,4.061410021936433,1.0,0.7730440816497526,delavenne,,,,
33,0.010836864394889963,False,0.8978281156079096,3.2538057791418953,2.545466404104294,3.896643352248326,1.0,0.9948339316791839,delavenne,,,,
34,0.010358849719694726,False,0.7269239098857012,3.0928620601321675,2.393269294543975,4.03354215540454,1.0,0.727000577252615,delavenne,,,,
35,0.010177879214662636,False,0.8749419181987382,3.1626748782702143,2.0895287667399507,4.060792750920589,1.0,0.5149876526581829,delavenne,,,,
36,0.010594871015064483,False,0.9445299267066296,3.0365896087249373,2.037812225688334,4.6020246306703445,1.0,0.9049597313556208,delavenne,,,,
37,0.010067625375312004,False,0.8422356137430841,3.2458784473022813,2.270867773430331,3.90524892610268,1.0,0.5121654016601956,delavenne,,,,
38,0.01022883135352098,False,0.7131795668255544,3.111900158285162,2.356483262270105,3.97134975124075,1.0,0.8333185740596583,delavenne,,,,
39,0.010344359934525763,False,0.9074622389012202,3.317174517809115,2.3278071322068428,4.660108400486746,1.0,1.4120233237253235,delavenne,,,,
40,0.01005823917898656,False,0.8021128897824777,3.153420537436811,2.147625775206257,4.9747302573943095,1.0,0.8500671190982606,delavenne,,,,
41,0.010651238667965664,False,1.0011658390659732,3.219514036891564,2.1738288359000753,4.835988162551711,1.0,0.8659711990325628,delavenne,,,,
42,0.010451059491719017,False,0.7187670002735036,3.006810972765455,2.3631398760662146,4.232638170804332,1.0,0.9673067719962585,delavenne,,,,
43,0.009611554552179599,False,0.6745429479423148,3.193430383348067,2.1710355353455864,4.496035479393679,1.0,0.6154424957568626,delavenne,,,,
44,0.010325904380053515,False,1.0043193120536797,3.5867343066046997,2.432588827650268,4.5487348716077705,1.0,0.624283191464474,delavenne,,,,
45,0.011068640036597185,False,0.9156987232473869,2.9826640779074376,2.162377649205222,4.538241261192848,1.0,0.935732831465215,delavenne,,,,
46,0.010505692962527168,False,0.9655005578120139,3.147674258784533,2.19444998048006,5.068525392624963,1.0,0.6984420926806495,delavenne,,,,
47,0.011301931781056037,False,0.7880723308301368,2.9221914094242236,2.412142839277225,4.893916887291956,1.0,0.963302142839099,delavenne,,,,
48,0.011537108981784184,False,0.856572783790289,2.9398985128556347,2.4600783286102743,4.07109679887731,1.0,1.0972375990924783,delavenne,,,,
